"FIPS","State","County","UnempRate2019","UnempRate2018","UnempRate2017","UnempRate2016","UnempRate2015","UnempRate2014","UnempRate2010","UnempRate2007","PctEmpChange1019","PctEmpChange1819","PctEmpChange0719","PctEmpChange0710","PctEmpAgriculture","PctEmpMining","PctEmpConstruction","PctEmpManufacturing","PctEmpTrade","PctEmpTrans","PctEmpInformation","PctEmpFIRE","PctEmpServices","PctEmpGovt","NumCivEmployed","UnempRate2011","NumCivLaborForce2011","NumEmployed2011","NumCivLaborForce2012","NumUnemployed2010","NumCivLaborForce2008","NumUnemployed2011","NumEmployed2010","NumCivLaborForce2010","NumUnemployed2009","NumEmployed2009","NumCivLaborForce2009","UnempRate2008","UnempRate2012","NumEmployed2008","UnempRate2009","NumUnemployed2008","NumUnemployed2015","NumUnemployed2019","NumCivLaborforce2019","NumUnemployed2018","NumEmployed2018","NumCivLaborforce2018","NumUnemployed2017","NumEmployed2017","NumCivLaborforce2017","NumUnemployed2016","NumEmployed2016","NumCivLaborforce2016","NumCivLaborforce2013","NumEmployed2015","NumEmployed2012","NumUnemployed2014","NumEmployed2014","NumCivLaborforce2014","UnempRate2013","NumUnemployed2013","NumEmployed2019","NumEmployed2013","NumUnemployed2007","NumEmployed2007","NumCivLaborforce2007","NumUnemployed2012","NumCivLaborforce2015","Ed1LessThanHSPct","Ed5CollegePlusPct","Ed4AssocDegreePct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","MedHHInc","PerCapitaInc","PovertyUnder18Pct","PovertyAllAgesPct","Deep_Pov_All","Deep_Pov_Children","PovertyUnder18Num","PovertyAllAgesNum","Hipov","HiAmenity","Low_Education_2015_update"
"0","US","United States",3.7,3.9,4.4,4.9,5.3,6.2,9.6,4.6,12.7,1.3,8.24,-3.96,1.284583927,0.544318208,6.465189538,10.18128899,13.92313025,5.227259437,2.071683517,6.557098079,49.1101774,4.635270641,152739884,9,154606324,140765822,155119209,14862528,153761298,13840502,139408198,154270726,14230942,139594849,153825791,5.8,8.1,144860522,9.3,8900776,8283796,5984808,163100055,6286707,155102319,161389026,6975103,153183461,160158564,7723517,150902618,158626135,155485689,148515185,142600412,9618987,146338323,155957310,7.4,11467539,157115247,144018150,7035039,145156247,152191286,12518797,156798981,12.33625163,31.52588219,8.394897155,27.13040694,20.61256208,61937,32621,18,13.1,6.249590402,8.598275656,12997532,41852315,NA,NA,NA
"1000","AL","Alabama",3,3.9,4.4,5.8,6.1,6.8,10.5,4,10.69,2.05,4.09,-5.96,1.069577427,0.418932272,6.53722141,14.2438417,14.32594279,5.366570553,1.577785611,5.537273415,45.48631777,5.436537058,2076708,9.6,2202670,1990413,2176337,231483,2176489,212257,1964559,2196042,238252,1924747,2162999,5.7,8,2053477,11,123012,131476,67264,2241747,85782,2130845,2216627,96496,2090373,2186869,127307,2055251,2182558,2174000,2030005,2003290,146552,2014290,2160842,7.2,156957,2174483,2017043,86485,2089127,2175612,173047,2161481,14.24390856,24.92743847,8.287772147,30.91469649,21.62618433,49881,26846,23.9,16.8,7.611623109,11.59131277,255613,801758,NA,NA,NA
"1001","AL","Autauga",2.7,3.6,3.9,5.1,5.2,5.8,8.9,3.3,8.65,0.78,7.98,-0.62,0.551318189,0.331619964,6.00232134,12.94561433,11.64815122,6.984745482,1.629083071,6.259326811,43.39661748,10.25120212,24124,8.4,25836,23677,25740,2282,24687,2159,23431,25713,2402,22301,24703,5.1,6.9,23420,9.7,1267,1331,714,26172,935,25261,26196,1013,25062,26075,1322,24709,26031,25810,24321,23961,1495,24097,25592,6.2,1605,25458,24205,806,23577,24383,1779,25652,11.31141366,27.68928591,8.066512404,32.60775978,20.32502825,59338,29372,19.3,13.8,6.142609331,8.910593539,2509,7587,0,0,0
"1003","AL","Baldwin",2.7,3.6,4.1,5.3,5.5,6.1,10,3.1,26.03,3.12,18.2,-6.22,0.956317802,0.371603894,8.269525268,9.119823515,16.80035126,4.925090224,1.369686975,7.398879834,45.7222716,5.06644963,93379,9,85045,77418,84414,8339,83223,7627,75120,83459,8048,74403,82451,4.6,7.5,79372,9.8,3851,4862,2653,97328,3424,91809,95233,3745,88711,92456,4835,86060,90895,85280,83010,78065,5301,81083,86384,6.6,5654,94675,79626,2560,80099,82659,6349,87872,9.735422379,31.34588303,9.360564396,27.60682772,21.95130248,57588,31203,13.9,9.8,4.482528095,6.214526428,6442,21069,0,1,0
"1005","AL","Barbour",3.8,5.1,5.8,8.3,8.9,10.5,12.3,6.3,-8.33,2.83,-15.19,-7.49,4.403669725,0.114678899,6.25,23.88761468,13.4059633,6.915137615,0.240825688,3.967889908,33.71559633,7.098623853,8720,11.5,9849,8712,9362,1262,10161,1137,8959,10221,1431,8572,10003,8.8,11.5,9267,14.3,894,765,324,8537,427,7987,8414,486,7863,8349,700,7736,8436,9099,7860,8283,932,7913,8845,10.2,931,8213,8168,650,9684,10334,1079,8625,26.96857976,12.21592472,7.037913388,35.6903098,18.08727233,34382,18461,43.9,30.9,12.74938747,26.70979667,2242,6788,1,0,1
"1007","AL","Bibb",3.1,3.9,4.4,6.4,6.6,7.2,11.4,4.1,6.38,1.83,-0.15,-6.14,1.901469317,4.086924312,9.013458452,18.70601309,10.86553896,4.88949253,1.308803556,4.580812446,39.37523151,5.272255834,8099,10.5,8933,7996,8798,1020,8749,937,7914,8934,1161,7581,8742,5.8,8.5,8241,13.3,508,568,266,8685,337,8268,8605,375,8208,8583,556,8088,8644,8705,8021,8047,617,7942,8559,7.9,689,8419,8016,359,8432,8791,751,8589,16.79340938,11.48922687,5.754119138,47.34474018,18.61850444,46064,20199,27.8,21.8,5.897009967,9.262064488,1238,4400,0,0,1
"1009","AL","Blount",2.7,3.5,4,5.4,5.4,6.1,9.8,3.2,9.77,1.88,-4.36,-12.88,1.485055748,0.796402136,9.463131266,16.41056872,15.35650707,6.863112527,1.250819826,5.837159187,37.95090415,4.586339361,21346,8.7,25123,22939,24960,2446,26698,2184,22460,24906,2648,23832,26480,4.7,6.9,25453,10,1245,1323,676,25331,868,24201,25069,998,23824,24822,1326,23358,24684,24887,23198,23244,1504,23023,24527,6.3,1562,24655,23325,849,25780,26629,1716,24521,19.83748454,12.642895,12.04986499,34.03992228,21.42983319,50412,22656,18,13.2,7.310535721,12.33308327,2374,7527,0,0,1
"1011","AL","Bullock",3.6,4.6,4.9,6.8,7.9,8.8,11.8,9.4,6.59,1.58,40.36,31.68,5.939086294,0,4.923857868,33.75634518,7.411167513,5.203045685,0.431472081,2.30964467,33.47715736,6.54822335,3940,11.6,4833,4272,4736,585,3634,561,4356,4941,583,3156,3739,10.5,10.4,3251,15.6,383,379,175,4818,220,4571,4791,238,4614,4852,330,4514,4844,4778,4406,4245,418,4314,4732,9.4,447,4643,4331,345,3308,3653,491,4785,24.77477477,13.30236486,5.306869369,39.65371622,16.96227477,29267,20346,68.3,42.5,17.66071248,44.64199904,1433,3610,1,0,1
"1013","AL","Butler",3.6,4.7,5.5,6.9,7.6,8.6,13.6,6.2,11.59,4.35,4.52,-6.34,2.891566265,0.063411541,5.618262524,24.032974,12.63157895,4.590995561,1.306277743,3.031071655,40.34242232,5.491439442,7885,12.5,9188,8042,9088,1263,9051,1146,7998,9261,1489,7615,9104,8.5,11.5,8278,16.4,773,694,338,9263,420,8553,8973,494,8481,8975,636,8593,9229,9147,8457,8039,793,8477,9270,10.3,941,8925,8206,560,8539,9099,1049,9151,15.41618664,16.09302995,7.740495392,43.85800691,16.89228111,37365,20430,36.3,24.5,7.667326331,12.12723658,1566,4731,1,0,0
"1015","AL","Calhoun",3.5,4.6,4.9,6.5,7,8,11.4,3.9,-2.46,0.87,-15.43,-13.3,1.0756484,0.15781714,6.036505596,17.63814191,15.06738377,4.611998256,1.526257865,4.352430592,42.36351932,7.170297153,48157,10.3,51268,45963,49649,5860,54564,5305,45699,51559,5996,47929,53925,5.7,8.9,51468,11.1,3096,3231,1635,46209,2116,44191,46307,2271,43679,45950,2997,43016,46013,48405,42764,45252,3770,43467,47237,8.8,4242,44574,44163,2152,52709,54861,4397,45995,15.9474316,17.96802932,7.795539268,32.41675618,25.87224363,45400,24706,26.5,19.5,7.379823363,11.47018478,6397,21719,0,0,0
"1017","AL","Chambers",2.9,3.8,4.1,5.4,6,6.7,14.9,6.5,21.76,3.46,5.65,-13.24,1.386446639,0.148789395,4.511023942,28.7772217,12.78912485,3.584471798,1.88692006,3.631813878,39.26011092,4.024076829,14786,12,15200,13380,15140,2200,15012,1820,12554,14754,2873,11777,14650,14.4,9.9,12848,19.6,2164,905,462,15748,591,14775,15366,621,14639,15260,818,14225,15043,15275,14097,13646,1026,14276,15302,8,1217,15286,14058,1005,14469,15474,1494,15002,18.6004074,13.23204889,8.563911051,38.44848073,21.15515193,39917,22827,30.7,18.7,6.650838493,10.50475494,2103,6181,0,0,1
"1019","AL","Cherokee",2.9,3.5,4.1,5,5.4,5.8,10.6,4.2,9.97,-0.09,-1.9,-10.79,3.335033146,0,7.261601224,26.27231005,11.91228965,7.383987761,1.03008669,1.835798062,34.80877104,6.160122387,9805,9.7,11476,10364,11268,1219,11996,1112,10245,11464,1374,10384,11758,5.7,8,11308,11.7,688,609,338,11604,412,11276,11688,463,10922,11385,574,10808,11382,11403,10570,10363,661,10725,11386,6.6,754,11266,10649,500,11484,11984,905,11179,19.77186312,12.89026937,7.583141434,38.32806726,21.42665881,42132,23356,24.7,16.3,5.588016156,6.461538462,1215,4180,0,0,0
"1021","AL","Chilton",2.7,3.6,4.1,5.5,5.6,6.3,10.3,3.4,10.4,1.88,1.12,-8.41,1.822857143,0.88,15.44,13.90285714,15.97142857,6.468571429,0.708571429,5.662857143,34.21714286,4.925714286,17500,9.1,19539,17753,19383,1998,19610,1786,17464,19462,2070,17375,19445,5.1,7.2,18618,10.6,992,1081,538,19818,700,18924,19624,786,18547,19333,1053,18213,19266,19359,18090,17982,1197,17899,19096,6.6,1269,19280,18090,670,19067,19737,1401,19171,17.79612661,14.16104454,7.015070654,44.05397241,16.97378579,47547,24611,23.3,17.3,7.572815534,7.040201981,2401,7542,0,0,0
"1023","AL","Choctaw",4.7,5.4,6.3,8.5,9.1,9,13.3,5.9,5.6,-0.91,-8.68,-13.52,8.630393996,3.306754221,7.082551595,17.07317073,15.71294559,4.620075047,1.313320826,2.204502814,35.83489681,4.221388368,4264,13.1,4764,4138,4791,644,5069,626,4216,4860,692,4442,5134,8.3,10.3,4646,13.5,423,398,218,4670,256,4493,4749,279,4145,4424,368,3976,4344,4703,3988,4297,405,4089,4494,9.2,433,4452,4270,308,4875,5183,494,4386,18.58838491,12.98219585,10.88384909,38.21534549,19.33022467,39907,22182,32.1,22.1,8.862135922,19.52887538,813,2806,1,0,0
"1025","AL","Clarke",5.8,7.4,8.5,10.8,11.7,12.2,19.9,6.1,-2.45,0.35,-26.81,-24.97,3.975415196,0.549234994,7.676212894,24.02249248,13.84856807,6.473126716,0.876160586,4.13233948,34.57565058,3.870799006,7647,18.8,8843,7181,8374,1808,10351,1662,7300,9108,1717,8664,10381,9,15,9419,16.5,932,938,436,7557,563,7096,7659,658,7107,7765,864,7121,7985,8285,7068,7116,993,7162,8155,13.8,1140,7121,7145,628,9730,10358,1258,8006,18.82039123,12.55483106,7.788974511,43.69887374,17.13692946,40741,21111,31.7,22.8,13.58344114,17.51230594,1625,5381,1,1,0
"1027","AL","Clay",3,3.8,4.3,5.9,6.1,7.1,14.5,5.5,18.24,2.32,2.48,-13.33,3.446409239,0.144352219,4.691447131,32.91230603,12.79321545,4.853843378,1.461566222,3.08552869,32.24467701,4.366654637,5542,11.8,5598,4935,5413,846,5733,663,5005,5851,940,4703,5643,7.9,9.4,5279,16.7,454,340,183,6101,226,5784,6010,252,5567,5819,334,5314,5648,5393,5219,4905,394,5117,5511,8.3,450,5918,4943,338,5775,6113,508,5559,24.50188476,10.16693592,9.617662897,36.25201939,19.46149704,39201,23147,25.8,17.6,5.874233129,9.044306115,684,2285,0,0,1
"1029","AL","Cleburne",3.2,4.2,4.5,6,6,6.6,10,3.7,3.57,1.28,-9.97,-13.08,4.726368159,0.017768301,12.57995736,19.36744847,15.68941009,6.467661692,0.319829424,2.825159915,32.37384506,5.632551528,5628,9.7,5939,5365,5838,604,6557,574,5429,6033,663,5851,6514,5.1,8.2,6225,10.2,332,342,183,5806,243,5552,5795,258,5489,5747,346,5464,5810,5830,5346,5358,386,5467,5853,7.7,447,5623,5383,237,6246,6483,480,5688,22.63283868,13.67161321,4.681665869,39.58831977,19.42556247,46495,21989,22.9,16,4.754758169,5.067873303,764,2356,0,0,1
